question_id,question,answer1_id,answer1,answer2_id,answer2
0025577043f5090cd603c6aea60f26e236195594, who is mark hunter? ,0025577043f5090cd603c6aea60f26e236195594, the police step in and arrest mark and nora. ,0025577043f5090cd603c6aea60f26e236195594, the police step in and arrest mark and nora. 
0025577043f5090cd603c6aea60f26e236195594, where does this radio station take place? ,0025577043f5090cd603c6aea60f26e236195594, mark is a loner  an outsider  whose only outlet for his teenage angst and aggression is his unauthorized radio station. ,0025577043f5090cd603c6aea60f26e236195594, mark is a loner an outsider whose only outlet for his teenage angst and aggression is his unauthorized radio station. 
0025577043f5090cd603c6aea60f26e236195594, why do more students tune into mark's show? ,0025577043f5090cd603c6aea60f26e236195594, when he speaks his mind about what is going on at his school and in the community more and more of his fellow students tune in to hear his show. ,0025577043f5090cd603c6aea60f26e236195594, when he speaks his mind about what is going on at his school and in the community  more and more of his fellow students tune in to hear his show. 
0025577043f5090cd603c6aea60f26e236195594, who commits suicide? ,2a798779ffab17c0002f1b127c729cb0387132be, bince who has persuaded elizabeth to marry him is exposed and commits suicide. ,2a798779ffab17c0002f1b127c729cb0387132be, bince  who has persuaded elizabeth to marry him  is exposed and commits suicide. 
0025577043f5090cd603c6aea60f26e236195594, what does paige jam into her microwave? ,0025577043f5090cd603c6aea60f26e236195594, the radio show becomes increasingly popular and influential after harry confronts the suicide head on  exhorting his listeners to do something about their problems instead of surrendering to them through suicideâat the crescendo of his yelled speech  an overachieving student named paige woodward ( who has been a constant listener ) jams her various medals and accolades into a microwave and turns it on. ,0025577043f5090cd603c6aea60f26e236195594, the radio show becomes increasingly popular and influential after harry confronts the suicide head on exhorting his listeners to do something about their problems instead of surrendering to them through suicideâat the crescendo of his yelled speech an overachieving student named paige woodward (who has been a constant listener) jams her various medals and accolades into a microwave and turns it on. 
0025577043f5090cd603c6aea60f26e236195594, what does mark do with his radio station? ,0025577043f5090cd603c6aea60f26e236195594, mark is a loner  an outsider  whose only outlet for his teenage angst and aggression is his unauthorized radio station. ,0025577043f5090cd603c6aea60f26e236195594, mark is a loner an outsider whose only outlet for his teenage angst and aggression is his unauthorized radio station. 
0025577043f5090cd603c6aea60f26e236195594, what does mark tell the protesting students? ,0025577043f5090cd603c6aea60f26e236195594, they finally drive up to the crowd of protesting students and mark tells them that the world belongs to them and that they should make their own future. ,0025577043f5090cd603c6aea60f26e236195594, they finally drive up to the crowd of protesting students  and mark tells them that the world belongs to them and that they should make their own future. 
0025577043f5090cd603c6aea60f26e236195594, who gets arrested? ,0025577043f5090cd603c6aea60f26e236195594, the police step in and arrest mark and nora. ,0025577043f5090cd603c6aea60f26e236195594, the police step in and arrest mark and nora. 
0025577043f5090cd603c6aea60f26e236195594, what does the radio show cause? ,0025577043f5090cd603c6aea60f26e236195594, eventually  the radio show causes so much trouble in the community that the fcc is called in to investigate. ,0025577043f5090cd603c6aea60f26e236195594, eventually the radio show causes so much trouble in the community that the fcc is called in to investigate. 
0025577043f5090cd603c6aea60f26e236195594, where does mark broadcast his station from? ,0025577043f5090cd603c6aea60f26e236195594, pursued by the police and the fcc  nora drives the jeep around while mark broadcasts. ,0025577043f5090cd603c6aea60f26e236195594, pursued by the police and the fcc nora drives the jeep around while mark broadcasts. 
