answers
"he is a high school student in phoenix., a loner and outsider student with a radio station. "
"it takes place in mark's parents basement. , ""phoenix "
"mark talks about what goes on at school and in the community., because he has a thing to say about what is happening at his school and the community. "
"malcolm., malcolm. "
"she jams her medals and accolades. , her award medals "
"he dismantles it and attaches it to his mother's jeep., dismantle it. "
"he tells them to make their own future., that they should make their own future because the world belongs to them. "
"mark and nora., mark and nora. "
"it causes trouble. , it causes much trouble in the community. "
"parent's basement, at the basement of his home "
"his radio station , his unauthorized radio station. "
"everybody knows, """"""everybody know's"""""" "
"fellow student, a fellow student "
"malcom' s suicide, to confront him after malcolm commits suicide. "
"do something about their problems., to do something about their problems instead of committing suicide. "
"the fcc, fcc "
"to retain government funding, for government funding "
"expelled them, expell them "
"nora, nora "
"""phoenix, arizona."" "
"in his parent's basement., his parents' basement. "
"his radio stations theme song., it is the theme song. "
" what does malcolm do?"", commits suicide. "
"puts them in the microwave., melts them in a microwave. "
"when the microwave explodes., microwaving her medals "
"to investigate the radio show., because of trouble caused by the radio station. "
"expelling them., expelling the students "
"the cops and the fcc., the police and the fcc. "
"protesting., protesting "
"the elderly spinster aunt of the earl de verseley and captain delmar, she's captail delmar's aunt. "
"""ben keene, delmar's valet"" "
"""percival is captain delmar's first name, and keene is ben's last name"" "
"""his teacher, mr. o'gallagher"" "
"he sets them on fire with the teacher sitting on them, he sets them off underneath him "
"a rich dutch merchant and his daughter minnie, a dutch merchant and his daughter "
"""when the captain is ill, percival takes his place in a duel with a french officer"" "
"captain delmar is percival's father, he's a bastard "
"he is sentenced to execution, he escapes "
"""he has been granted the right to use his father's name, delmar"" "
"madeline hall, madeline hall "
"miss delmar, miss delmar "
"arabella, arabella mason "
"percival keene, percival "
"he bit his grandmother., bites her "
"a dutch merchant and his daughter, a wealthy dutch merchant and his daughter minnie "
"colonial delmar, captain delmar "
"capitan, captain "
"minni, minnie "
"the arms and name of delmar, arms and name of delmar "
"miss delma house guest, she's percival's mother "
"his captain delmar valet, valet and private marine "
"arabella manson, arabella mason. "
"arabella and been son, ben and arabella's son "
"mr o'gallagher school, mr. o'gallagher's school house. "
"captain delmar, captain delmar "
"because percival skin was dyed tan, he doesn't recognize him "
"minnie, minnie "
"a heiress, daughter to the dutch merchant "
"england, england "
"a bluebuck antelope, bluebuck antelope. "
"condors, condors attack the balloon. "
" stranded?"", the sahara desert "
"sacrifice him, sacrifice him "
"the nile river, the nile river "
"the interior of africa near modern day central african republic., chad "
"""joe and richard """"dick"""" kennedy"", ""joe and richard """"dick"""" kennedy"" "
"zanzibar, zanzibar "
"the african continent , africa "
"joe. , joe "
"hydrogen, hydrogen. "
"they are seeking out the source of the nile river. , linking the voyages of burton and speke with barth. "
"desert , desert "
" what does joe decide to do?"", joe jumps out of the balloon. "
"he is a professional hunter. , he is a professional hunter. "
"heinrich barth , heinrich barth. "
"england, england "
"zanzibar on the east coast, the east coast of zanzibar. "
"the native tribe was preparing to sacrifice him. , because he was going to be sacrificed "
"""his friend, richard """"dick"""" kennedy and his manservant joe"" "
"he was a scholar and an explorer, he was an explorer. "
"because it was attacked by condors, it was being attacked by condors "
"to link together the trips of sir. richard burton and john hanning speke with those of heinrich barth, to link together multiple other voyages to fully explore africa. "
"zanzibar, zanzibar "
"he was a professional hunter, professional hunter "
"they wanted to find the source of the nile, finding the source of the nile river. "
"england, zanzibar "
"a missionary man, a missionary "
"shah amurath, shah amurath "
"statues, lifelike statues. "
"olivia, olivia "
"akif, akif "
"pirate ship, they use the pirates own ship. "
"conan slays him., conan challenges and kills him "
" what does conan say he will make olivia?"", queen of the blue sea "
"pirates from the ship, a giant man ape was aboard the ship. "
"marshes, in the reeds "
"""""""devil island"""""", the devil island "
"shadows in the moonlight, shadows in the moonlight "
"olivia, olivia "
"he hidden in the reeds for so long, he was hiding in the reeds for so long "
"in ancient ruins with lifelike statues, in some ruins "
"something lurking in the jungle, what lurked in the jungle "
"a pirate ship, a pirate ship "
"a giant man ape, man ape. "
"a horrific slaughter, conan is held captive by drunk pirates "
"devil island, devil island "
"olivia, olivia "
" what is olivia escaping?"", ""life in the city of akif "
"conan the cimmerian., conan "
"in ancient ruins on a deserted island., ancient ruins "
" what is olivia concerned about?"", ""that the statues were once men "
"kill the pirate captain., kills the pirate captain "
"""they talk about what to do with him, drink too much "
"olivia., olivia "
"a giant man ape., a giant man ape "
" where do olivia and conan go?"", to take over the pirate ship. "
"the pirates make him their captain., ""he challenges them "
"akif, akif "
"vilayet sea, vilayet sea "
"conan, conan the cimmerian "
"boat, in a boat "
"that they will come to life, that they will come to life. "
"pirate ship, a man ape "
"dark figure, captivity "
" what is the name of the island?"", devil island "
"pirates, beating the prior captain "
"""make her """"queen of the blue sea"""""", make her the queen of the blue sea "
"olivia has fled from akif., akif "
"shah amurath is chasing olivia., shah "
"giant boulders are being lobbed at olivia., boulders "
"a stone from a ling knocks him unconscious., a stone "
"olivia frees conan from the pirates., olivia frees conan from the pirates. "
"devil island., devil island "
"conan kills the captain., conan "
"conan becomes the new captain., conan becomes the new captain of the pirate ship. "
"queen of the blue sea., queen of the blue sea. "
"a band of men turned into statues., a band of men turned into statues "
"hitman, british hitman "
"mafia boss don kim, don kim "
"his apartment, a rooftop. "
"""inhibits adrenalin flow, slows heart and brings on death"" "
